source_folder,source_dir,source_path,original_filename,normalized_filename,page,item,content_hash,is_duplicate,duplicate_of,category,destination
1,D:\LX\tregecy\asset\pdf-素材\（提取图片）1（300g铜版纸,D:\LX\tregecy\asset\pdf-素材\（提取图片）1（300g铜版纸\第1页-1.PNG,第1页-1.PNG,第1页-1.PNG,1,1,9b30a5031720d842dcbac1dbfd360d2838c7a0ec14e2bc1736aefa0e223ec01d,false,,牌垫,牌垫\1_第1页-1.PNG
1,D:\LX\tregecy\asset\pdf-素材\（提取图片）1（300g铜版纸,D:\LX\tregecy\asset\pdf-素材\（提取图片）1（300g铜版纸\第2页-2.PNG,第2页-2.PNG,第2页-2.PNG,2,2,d83deb2c8d0e54ca7d3804d4bf86d06e4fd1ecb1877d756c8940fa23092133cd,false,,牌垫,牌垫\1_第2页-2.PNG
1,D:\LX\tregecy\asset\pdf-素材\（提取图片）1（300g铜版纸,D:\LX\tregecy\asset\pdf-素材\（提取图片）1（300g铜版纸\第3页-3.PNG,第3页-3.PNG,第3页-3.PNG,3,3,344816e50ff45e2ba3cdb13cf485f5a9d95ccfc6dcd5c1ad4a03e8fe68b8afa0,false,,牌垫,牌垫\1_第3页-3.PNG
1,D:\LX\tregecy\asset\pdf-素材\（提取图片）1（300g铜版纸,D:\LX\tregecy\asset\pdf-素材\（提取图片）1（300g铜版纸\第4页-4.PNG,第4页-4.PNG,第4页-4.PNG,4,4,18004fae09ce2e2318d3bfe1baed7f80c3a3d333c314d76141996c807ba8c00a,false,,牌垫,牌垫\1_第4页-4.PNG
4,D:\LX\tregecy\asset\pdf-素材\（提取图片）4（300g铜版纸,D:\LX\tregecy\asset\pdf-素材\（提取图片）4（300g铜版纸\第1页-1.PNG,第1页-1.PNG,第1页-1.PNG,1,1,920fd0b9626355a53e7441748503f69ba416365edbd82e446072b8e36884673b,false,,牌垫,牌垫\4_第1页-1.PNG
4,D:\LX\tregecy\asset\pdf-素材\（提取图片）4（300g铜版纸,D:\LX\tregecy\asset\pdf-素材\（提取图片）4（300g铜版纸\第1页-2.PNG,第1页-2.PNG,第1页-2.PNG,1,2,ca98dab0e4aff8e0494e3a73a187fa0e700311f96e64a6f1cea1c7c4c0fbbf22,false,,牌垫,牌垫\4_第1页-2.PNG
6,D:\LX\tregecy\asset\pdf-素材\（提取图片）6（300g铜版纸,D:\LX\tregecy\asset\pdf-素材\（提取图片）6（300g铜版纸\第10页-82(1).PNG,第10页-82(1).PNG,第10页-82.PNG,10,82,0812716924c99d17dd13317f131f3bfe0f0dec738f145f220d6a6a04be0d2d27,true,第10页-82.PNG,duplicates,duplicates\6_第10页-82.PNG
6,D:\LX\tregecy\asset\pdf-素材\（提取图片）6（300g铜版纸,D:\LX\tregecy\asset\pdf-素材\（提取图片）6（300g铜版纸\第10页-82.PNG,第10页-82.PNG,第10页-82.PNG,10,82,0812716924c99d17dd13317f131f3bfe0f0dec738f145f220d6a6a04be0d2d27,false,,公开信息表,公开信息表\6_第10页-82.PNG
6,D:\LX\tregecy\asset\pdf-素材\（提取图片）6（300g铜版纸,D:\LX\tregecy\asset\pdf-素材\（提取图片）6（300g铜版纸\第10页-83(1).PNG,第10页-83(1).PNG,第10页-83.PNG,10,83,140339a0de1cea01da6a1ac68da60eef446d444afeb07b4e4b3082aabb56fa6d,true,第10页-83.PNG,duplicates,duplicates\6_第10页-83.PNG
6,D:\LX\tregecy\asset\pdf-素材\（提取图片）6（300g铜版纸,D:\LX\tregecy\asset\pdf-素材\（提取图片）6（300g铜版纸\第10页-83.PNG,第10页-83.PNG,第10页-83.PNG,10,83,140339a0de1cea01da6a1ac68da60eef446d444afeb07b4e4b3082aabb56fa6d,false,,公开信息表,公开信息表\6_第10页-83.PNG
